MES_COTIZACION,COD_CLIENTE,COD_SOL,GARANTIA,IMPORTE,PLAZO,TEA_MINIMA,FLG_DESEMBOLSO
1/09/2018,==BBVAPE281352693,==BBVAPE7228407,SIN GARANTIA,28500,60,0.18899999999999997,0
1/09/2018,==BBVAPE215548923,==BBVAPE7231233,SIN GARANTIA,30000,60,0.18899999999999997,0
1/09/2018,==BBVAPE215548923,==BBVAPE7257297,SIN GARANTIA,20000,48,0.19,1
1/09/2018,==BBVAPE194925945,==BBVAPE7139919,SIN GARANTIA,40000,60,0.165,1
1/09/2018,==BBVAPE215270733,==BBVAPE7271913,SIN GARANTIA,15000,36,0.175,1
1/09/2018,==BBVAPE445630431,==BBVAPE7090509,DINERARIA,10000,48,0.1985,1
1/09/2018,==BBVAPE456368763,==BBVAPE7285791,SIN GARANTIA,30000,60,0.187,0
1/09/2018,==BBVAPE490239597,==BBVAPE7170357,SIN GARANTIA,10000,36,0.251,0
1/09/2018,==BBVAPE490239597,==BBVAPE7201569,SIN GARANTIA,5000,36,0.335,1
1/09/2018,==BBVAPE376249251,==BBVAPE7285323,NO DINERARIA,60000,30,0.187,1
1/09/2018,==BBVAPE365285271,==BBVAPE7079547,SIN GARANTIA,120000,60,0.1425,1
1/09/2018,==BBVAPE363355977,==BBVAPE7330917,SIN GARANTIA,120000,60,0.187,0
1/09/2018,==BBVAPE179028615,==BBVAPE7178115,SIN GARANTIA,76500,60,0.1405,0
1/09/2018,==BBVAPE232711401,==BBVAPE7355199,SIN GARANTIA,66000,60,0.185,1
1/09/2018,==BBVAPE378359445,==BBVAPE7138011,SIN GARANTIA,57900,60,0.187,0
1/09/2018,==BBVAPE379402077,==BBVAPE7154571,SIN GARANTIA,5000,12,0.302,1
1/09/2018,==BBVAPE394854285,==BBVAPE7100589,SIN GARANTIA,3000,24,0.36700000000000005,0
1/09/2018,==BBVAPE170862609,==BBVAPE7270545,SIN GARANTIA,100000,60,0.184,1
1/09/2018,==BBVAPE170897061,==BBVAPE7087989,SIN GARANTIA,40100,60,0.165,0
1/09/2018,==BBVAPE470374581,==BBVAPE7238379,SIN GARANTIA,57800,60,0.188,0
1/09/2018,==BBVAPE384384279,==BBVAPE7206591,SIN GARANTIA,10000,36,0.1965,0
1/09/2018,==BBVAPE403115025,==BBVAPE7260717,SIN GARANTIA,20000,48,0.19,0
1/09/2018,==BBVAPE500004345,==BBVAPE7107429,NO DINERARIA,100000,36,0.134,0
1/09/2018,==BBVAPE500004345,==BBVAPE7124259,NO DINERARIA,100000,36,0.134,0
1/09/2018,==BBVAPE209379711,==BBVAPE7207221,SIN GARANTIA,49900,60,0.175,0
1/09/2018,==BBVAPE209379711,==BBVAPE7246749,SIN GARANTIA,93600,60,0.1486,1
1/09/2018,==BBVAPE480399897,==BBVAPE7208463,SIN GARANTIA,21800,60,0.18899999999999997,0
1/09/2018,==BBVAPE500273913,==BBVAPE7176711,SIN GARANTIA,83200,60,0.188,0
1/09/2018,==BBVAPE500273913,==BBVAPE7185207,SIN GARANTIA,83200,60,0.188,0
1/09/2018,==BBVAPE500273913,==BBVAPE7189815,SIN GARANTIA,102600,60,0.187,0
1/09/2018,==BBVAPE500273913,==BBVAPE7190139,SIN GARANTIA,83200,60,0.188,0
1/09/2018,==BBVAPE500273913,==BBVAPE7209093,SIN GARANTIA,83200,60,0.188,0
1/09/2018,==BBVAPE500273913,==BBVAPE7216599,SIN GARANTIA,83200,60,0.188,0
1/09/2018,==BBVAPE500273913,==BBVAPE7221045,SIN GARANTIA,82300,60,0.188,0
1/09/2018,==BBVAPE500273913,==BBVAPE7232889,SIN GARANTIA,83200,60,0.188,1
1/09/2018,==BBVAPE393354291,==BBVAPE7230693,SIN GARANTIA,50000,39,0.1426,1
1/09/2018,==BBVAPE360977601,==BBVAPE7311747,SIN GARANTIA,50000,60,0.1486,0
1/09/2018,==BBVAPE383490327,==BBVAPE7153923,SIN GARANTIA,30000,36,0.187,0
1/09/2018,==BBVAPE481556541,==BBVAPE7278843,SIN GARANTIA,2000,12,0.327,1
1/09/2018,==BBVAPE180557931,==BBVAPE7148613,SIN GARANTIA,15500,48,0.175,0
1/09/2018,==BBVAPE374410983,==BBVAPE7121145,SIN GARANTIA,50000,36,0.1405,0
1/09/2018,==BBVAPE377559399,==BBVAPE7222737,NO DINERARIA,126000,108,0.1425,0
1/09/2018,==BBVAPE408308727,==BBVAPE7325733,NO DINERARIA,16000,30,0.19,0
1/09/2018,==BBVAPE408308727,==BBVAPE7364091,NO DINERARIA,14000,24,0.1985,1
1/09/2018,==BBVAPE376000815,==BBVAPE7173957,SIN GARANTIA,120000,60,0.1425,1
1/09/2018,==BBVAPE157639503,==BBVAPE7140441,SIN GARANTIA,20000,48,0.19,1
1/09/2018,==BBVAPE190855695,==BBVAPE7336677,DINERARIA,380000,60,0.185,0
1/09/2018,==BBVAPE369085161,==BBVAPE6669489,SIN GARANTIA,120000,60,0.1405,0
1/09/2018,==BBVAPE373345761,==BBVAPE7113081,SIN GARANTIA,59000,60,0.1415,1
1/09/2018,==BBVAPE484486365,==BBVAPE7244121,SIN GARANTIA,25000,60,0.245,0
